"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/OM/Models/Boar_Vessel_600-500BC_Etruscan_Ceramic/source/Boar_Vessel/Boar_Vessel_Mats.Boar_Vessel_Mats","24","15","1","1","41.606930","0","71"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","24","42","1","1","107.312332","0","526"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","24","102","1","1","298.958496","0","1768"
"/Interchange/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","24","15","1","1","43.837769","0","66"
"/Interchange/Materials/OrenNayerMaterial.OrenNayerMaterial","24","15","1","1","53.688366","0","109"
"/Interchange/gltf/M_Unlit.M_Unlit","24","16","2","2","13.499083","0","58"
"/Interchange/Materials/ThinTranslucentMaterial.ThinTranslucentMaterial","24","10","1","1","29.451284","0","48"
"/Interchange/Materials/SubsurfaceMaterial.SubsurfaceMaterial","24","15","1","1","46.517319","0","92"
"/Interchange/Materials/SheenMaterial.SheenMaterial","24","15","1","1","47.310009","0","82"
"/Interchange/Materials/PBRSurfaceMaterial.PBRSurfaceMaterial","24","15","1","1","46.486637","0","104"
"/Interchange/Materials/ClearCoatMaterial.ClearCoatMaterial","24","15","1","1","47.240292","0","81"
"/Interchange/gltf/M_Transmission.M_Transmission","24","48","4","4","140.915207","0","219"
"/Interchange/gltf/M_Sheen.M_Sheen","24","84","4","4","227.520309","0","584"
"/Interchange/gltf/M_Translucent.M_Translucent","24","80","10","8","263.418793","0","374"
"/Interchange/gltf/M_Opaque.M_Opaque","24","168","18","8","432.091888","0","996"
